CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
10 005.002 0 0.0169870853424 0.0349062909471 0.26854801178 0.0176949501038 0.0255079269409 0.0511050224304 0.0593090057373 1.0
50 005.002 0 0.174870967865 0.358425350189 0.526378154755 0.274609088898 0.360764980316 0.482192993164 0.506808042526 1.0
25 005.002 0 0.0763309001923 0.148239917755 0.230852127075 0.0981271266937 0.137714862823 0.208884000778 0.215774059296 1.0
1000 005.002 4.0 0.161164999008 7.18110856533 72.5206949711 0.252918958664 0.472070932388 24.0968658924 33.6526780128 0.62
