CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
5 4.6 0 0.513975143433 0.786981105804 1.21161270141 0.591096878052 0.716048002243 1.17073893547 1.18742895127 1.0 1.0 0 0 0 0
10 4.6 0 0.811753034592 1.60163962323 2.57810497284 0.889818906784 1.31844305992 2.25373101234 2.27609825134 0.920634920635 0 0.920634920635 0 0 0
