CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
10 005.001 0 0.00377988815308 0.0219811581551 0.064847946167 0.0045599937439 0.0213479995728 0.0459578037262 0.0563910007477 1.0
50 005.001 0 0.234653949738 0.464557542801 0.753252983093 0.346281051636 0.449717998505 0.569135904312 0.706097126007 1.0
25 005.001 0 0.11039686203 0.169123558998 0.26415014267 0.123504161835 0.167141914368 0.217992067337 0.255358219147 1.0
1000 005.001 5.55555555556 0.304026126862 5.36944125317 30.0142540932 0.343456983566 2.079226017 22.2159569263 28.1383821964 0.62962962963
