CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
10 49.7 0 0.00377893447876 0.0591500035714 0.753252744674 0.00618577003479 0.0252459049225 0.126855134964 0.31661272049 1.0 1.0 0 0 0 0
50 49.9 0 0.17197394371 0.657468644316 6.00363516808 0.271593093872 0.412127017975 0.625835895538 3.19098877907 1.0 1.0 0 0 0 0
25 51.0 0 0.0651359558105 0.313057172065 2.3054599762 0.110982894897 0.165786027908 0.483690738678 1.85374855995 1.0 1.0 0 0 0 0
1000 97.7 3.74384236453 0.161164999008 3.56478052186 72.5206949711 0.298028945923 1.51318502426 10.5184569359 15.4995191097 0.719464144996 0 0 0.719464144996 0 0
