CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
10 003.002 0 0.0145499706268 0.0296209729635 0.0824489593506 0.0166001319885 0.0261340141296 0.0493381023407 0.0605728626251 1.0
50 003.002 0 0.208513021469 0.386718707085 0.625835895538 0.284934043884 0.372945070267 0.527364015579 0.550247907639 1.0
25 003.002 0 0.0651359558105 0.151699104309 0.233920812607 0.102108001709 0.153655052185 0.207040071487 0.220317840576 1.0
1000 003.002 4.34782608696 0.0595428943634 3.61413242506 24.4691300392 0.243669986725 0.498742818832 14.0846340656 15.4454870224 0.663043478261
