CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
10 001.014 0 0.00359797477722 0.0232733167135 0.0740821361542 0.00459504127502 0.0180180072784 0.0520730018616 0.063992023468 1.0
50 001.014 0 0.190520048141 0.295025444031 0.509844064713 0.237332105637 0.278994083405 0.370328903198 0.378556013107 1.0
25 001.014 0 0.0644299983978 0.11921166474 0.199346065521 0.0741839408875 0.1174659729 0.158329963684 0.18666601181 1.0
1000 001.014 0 0.166652202606 3.50526318425 19.1557750702 0.270656108856 0.412678956985 15.4163429737 16.6179530621 0.710526315789
